Name,State,Party,Handles
"Adams, Alma",NC,D,RepAdams
"Aderholt, Robert",AL,R,Robert_Aderholt
"Aguilar, Pete",CA,D,RepPeteAguilar
"Allen, Rick",GA,R,RepRickAllen
"Allred, Colin",TX,D,RepColinAllred
"Amodei, Mark",NV,R,MarkAmodeiNV2
"Armstrong, Kelly",ND,R,RepArmstrongND
"Arrington, Jodey",TX,R,RepArrington
"Auchincloss, Jake",MA,D,RepAuchincloss
"Axne, Cindy",IA,D,RepCindyAxne
"Babin, Brian",TX,R,RepBrianBabin
"Bacon, Don",NE,R,RepDonBacon
"Baird, Jim",IN,R,RepJimBaird
"Balderson, Troy",OH,R,RepBalderson
"Banks, Jim",IN,R,RepJimBanks
"Barr, Andy",KY,R,RepAndyBarr
"Barragán, Nanette",CA,D,RepBarragan
"Bass, Karen",CA,D,RepKarenBass
"Beatty, Joyce",OH,D,RepBeatty
"Bentz, Cliff",OR,R,RepBentz
"Bera, Ami",CA,D,RepBera
"Bergman, Jack",MI,R,RepJackBergman
"Beyer, Don",VA,D,RepDonBeyer
"Bice, Stephanie I.",OK,R,RepBice
"Biggs, Andy",AZ,R,RepAndyBiggsAZ
"Bilirakis, Gus M.",FL,R,RepGusBilirakis
"Bishop Jr., Sanford D.",GA,D,SanfordBishop
"Bishop, Dan",NC,R,RepDanBishop
"Blumenauer, Earl",OR,D,repblumenauer
"Blunt Rochester, Lisa",DE,D,RepLBR
"Boebert, Lauren",CO,R,RepBoebert
"Bonamici, Suzanne",OR,D,RepBonamici
"Bost, Mike",IL,R,RepBost
"Bourdeaux, Carolyn",GA,D,RepBourdeaux
"Bowman, Jamaal",NY,D,RepBowman
"Boyle, Brendan",PA,D,CongBoyle
"Brady, Kevin",TX,R,RepKevinBrady
"Brooks, Mo",AL,R,RepMoBrooks
"Brown, Anthony",MD,D,RepAnthonyBrown
"Brown, Shontel",OH,D,RepShontelBrown
"Brownley, Julia",CA,D,RepBrownley
"Buchanan, Vern",FL,R,VernBuchanan
"Buck, Ken",CO,R,RepKenBuck
"Bucshon, Larry",IN,R,RepLarryBucshon
"Budd, Ted",NC,R,RepTedBudd
"Burchett, Tim",TN,R,RepTimBurchett
"Burgess, Michael",TX,R,michaelcburgess
"Bush, Cori",MO,D,RepCori
"Bustos, Cheri",IL,D,RepCheri
"Butterfield, G.K.",NC,D,GKButterfield
"Calvert, Ken",CA,R,KenCalvert
"Cammack, Kat",FL,R,RepKatCammack
"Carbajal, Salud",CA,D,RepCarbajal
"Cardenas, Tony",CA,D,RepCardenas
"Carey, Mike",OH,R,RepMikeCarey
"Carl, Jerry L.",AL,R,RepJerryCarl
"Carson, André",IN,D,RepAndreCarson
"Carter, Buddy",GA,R,RepBuddyCarter
"Carter, John",TX,R,JudgeCarter
"Carter, Troy",LA,D,RepTroyCarter
"Cartwright, Matt",PA,D,RepCartwright
"Case, Ed",HI,D,RepEdCase
"Casten, Sean",IL,D,RepCasten
"Castor, Kathy",FL,D,USRepKCastor
"Castro, Joaquin",TX,D,JoaquinCastrotx
"Cawthorn, Madison",NC,R,RepCawthorn
"Chabot, Steve",OH,R,RepSteveChabot
"Cheney, Liz",WY,R,RepLizCheney
"Cherfilus-McCormick, Sheila",FL,D,CongresswomanSC
"Chu, Judy",CA,D,RepJudyChu
"Cicilline, David",RI,D,RepCicilline
"Clark, Katherine",MA,D,RepKClark
"Clarke, Yvette D.",NY,D,RepYvetteClarke
"Cleaver, Emanuel",MO,D,repcleaver
"Cline, Ben",VA,R,RepBenCline
"Cloud, Michael",TX,R,RepCloudTX
"Clyburn, James E.",SC,D,WhipClyburn
"Clyde, Andrew S.",GA,R,Rep_Clyde
"Cohen, Steve",TN,D,RepCohen
"Cole, Tom",OK,R,TomColeOK04
"Comer, James",KY,R,RepJamesComer
"Connolly, Gerald E. ""Gerry""",VA,D,GerryConnolly
"Conway, Connie",CA,R,RepConnieConway
"Cooper, Jim",TN,D,repjimcooper
"Correa, J. Luis",CA,D,RepLouCorrea
"Costa, Jim",CA,D,RepJimCosta
